objectid,oceans,measurement,lat,long,year
9075,Atlantic Ocean,0.0,22.375,-28.4233,2014
14731,Indian Ocean,0.275,21.483056,91.96,2020
22108,Atlantic Ocean,0.0,27.8524,-82.4093,2016
9321,Atlantic Ocean,0.005,14.2518,-60.4931,2014
10186,Indian Ocean,0.001528,-33.12218,114.44685,2011
13506,Indian Ocean,0.121639,-12.295,73.953333,2018
9759,Indian Ocean,0.093,-7.9894,102.6497,2016
11348,Indian Ocean,0.012001,5.6413,83.1797,2013
10921,Pacific Ocean,0.079,56.33,173.7,2017
14502,Arctic Ocean,0.4,88.3891,42.1193,2016
11846,Atlantic Ocean,0.213434,42.4627,3.3037,2010
13340,Atlantic Ocean,0.080207,42.834567,6.07705,2016
14265,Atlantic Ocean,0.021019,57.859333,-3.028333,2019
14336,Atlantic Ocean,0.008418,56.913667,-2.123,2020
14004,Atlantic Ocean,0.111926,54.658833,-4.433667,2014
10850,Atlantic Ocean,2.943333,39.393,19.741,2014
10423,Atlantic Ocean,3.133609,37.459,11.83,2013
11182,Atlantic Ocean,0.263478,34.8602,26.0123,2014
21498,Pacific Ocean,0.259535,32.998333,136.005,2014
13838,Atlantic Ocean,0.055279,37.124333,-75.570167,2021
14763,Indian Ocean,2.895833,22.326398,91.854782,2020
22162,Atlantic Ocean,4000.0,27.8261,-82.5675,2017
8763,Atlantic Ocean,0.003,16.3062,-61.7993,2014
8929,Atlantic Ocean,0.081,18.6958,-23.5048,2014
9427,Atlantic Ocean,0.01,16.7199,-87.7875,2015
9261,Atlantic Ocean,0.002,15.0556,-57.5334,2014
12201,Pacific Ocean,0.47,0.0,-89.0,2017
13910,Atlantic Ocean,1927.333333,4.651903,-49.659528,2018
21902,Indian Ocean,0.107,8.744239,78.170497,2021
14408,Atlantic Ocean,0.0,57.737,-3.706,2022
14359,Atlantic Ocean,0.072294,57.755,-7.688667,2021
13744,Atlantic Ocean,0.01348,54.645,10.3495,2020
13363,Arctic Ocean,0.020223,69.069167,-51.9785,2016
9570,Arctic Ocean,0.004,78.9276,11.9374,2015
21521,Pacific Ocean,0.704088,32.501667,133.491667,2014
21570,Pacific Ocean,0.219803,32.996667,133.663333,2014
13695,Atlantic Ocean,0.260531,42.9005,6.045,2020
13412,Atlantic Ocean,0.009999,52.873333,4.644667,2017
10707,Atlantic Ocean,0.174,37.508333,-0.878333,2015
13197,Atlantic Ocean,0.108696,35.845333,-5.736167,2014
13861,Atlantic Ocean,0.206054,36.842167,15.347667,2021
11205,Atlantic Ocean,0.545829,38.4047,5.4506,2014
11039,Atlantic Ocean,4.254324,32.279667,34.825,2014
10068,Atlantic Ocean,11.0,25.6829,-26.5308,2017
8906,Atlantic Ocean,0.015,24.8967,-17.7617,2014
22068,Atlantic Ocean,0.0,27.9456,-82.6943,2017
9404,Atlantic Ocean,0.002,16.8497,-87.7874,2015
12132,Pacific Ocean,0.141392,-29.8994,-97.9295,2011
12058,Indian Ocean,0.032483,-20.3179,115.6619,2012
13555,Indian Ocean,0.041433,-11.078883,122.556917,2018
13887,Atlantic Ocean,7650.333333,-1.2036,-44.44505,2018
13718,Atlantic Ocean,0.210804,52.937333,2.744,2020
14551,Arctic Ocean,21.0,88.04016,10.04138,2016
9808,Pacific Ocean,0.004,-5.11,-102.52,2016
10801,Atlantic Ocean,2.018667,41.397303,2.21315,2021
21547,Pacific Ocean,0.040675,34.001667,137.493333,2014
10137,Atlantic Ocean,12.0,50.0685,-0.7519,2018
11133,Atlantic Ocean,1.940703,43.4061,7.5918,2014
11468,Atlantic Ocean,0.142413,35.6729,-35.0237,2010
14714,Atlantic Ocean,1.083976,40.202778,18.494444,2021
13128,Atlantic Ocean,0.740681,39.272017,2.217867,2013
8812,Atlantic Ocean,0.009,41.4793,-71.3283,2014
9141,Atlantic Ocean,0.002,20.2692,-31.3284,2014
9547,Atlantic Ocean,0.012,24.6208,-17.5606,2014
13054,Pacific Ocean,1489.0,21.990946,113.898436,2018
22211,Atlantic Ocean,2000.0,27.6279,-82.6415,2017
9476,Atlantic Ocean,0.003,15.5833,-49.2833,2014
11491,Atlantic Ocean,0.104111,-26.0782,-31.973,2010
8786,Atlantic Ocean,0.002,18.0327,-63.0973,2014
14528,Arctic Ocean,104.0,89.66148,52.0587,2016
11774,Pacific Ocean,0.798458,-29.1922,-100.739,2011
11823,Atlantic Ocean,0.398427,42.8568,8.317,2010
