typeCode,freqCode,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,cmdCode,cmdDesc,isLeaf,customsDesc,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,2023,52,2023,404,KEN,Kenya,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,6274758,FALSE,8,kg,6274758,FALSE,6274758,FALSE,0,FALSE,,2514424.926,2514424.926,0,FALSE,TRUE
C,A,2023,52,2023,414,KWT,Kuwait,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,103784.477,TRUE,-1,N/A,0,FALSE,103784.477,TRUE,0,FALSE,51427.453,,51427.453,6,FALSE,TRUE
C,A,2023,52,2023,414,KWT,Kuwait,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,9097759.799,TRUE,-1,N/A,0,FALSE,9097759.799,TRUE,0,FALSE,,4080750.55,4080750.55,6,FALSE,TRUE
C,A,2023,52,2023,417,KGZ,Kyrgyzstan,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,1865329,FALSE,8,kg,1865329,FALSE,1865329,FALSE,0,FALSE,183413,,183413,0,FALSE,TRUE
C,A,2023,52,2023,417,KGZ,Kyrgyzstan,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,2089682,FALSE,8,kg,2089682,FALSE,2089682,FALSE,0,FALSE,,299832,299832,0,FALSE,TRUE
C,A,2023,52,2023,422,LBN,Lebanon,M,Import,0,W00,World,0,W00,World,H5,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,276452.652,TRUE,-1,N/A,0,FALSE,276452.652,TRUE,0,FALSE,122126,,122126,6,FALSE,TRUE
C,A,2023,52,2023,422,LBN,Lebanon,X,Export,0,W00,World,0,W00,World,H5,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,,9504229,9504229,0,FALSE,TRUE
C,A,2023,52,2023,426,LSO,Lesotho,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,303.79,FALSE,8,kg,303.79,FALSE,303.79,FALSE,0,FALSE,2534.326,,2534.326,0,FALSE,TRUE
C,A,2023,52,2023,428,LVA,Latvia,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,24113232,FALSE,8,kg,24113232,FALSE,24113232,FALSE,0,FALSE,7193420.624,,7193420.624,0,FALSE,TRUE
C,A,2023,52,2023,428,LVA,Latvia,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,19120944.732,TRUE,-1,N/A,0,FALSE,19120944.732,TRUE,0,FALSE,,6662429.068,6662429.068,6,FALSE,TRUE
